Date,Daily Counts
3/7/2020,14
3/8/2020,20
3/9/2020,54
3/10/2020,75
3/11/2020,157
3/12/2020,358
3/13/2020,621
3/14/2020,643
3/15/2020,1028
3/16/2020,2106
3/17/2020,2391
3/18/2020,2895
3/19/2020,3579
3/20/2020,3819
3/21/2020,2477
3/22/2020,2414
3/23/2020,3288
3/24/2020,4134
3/25/2020,4495
3/26/2020,4638
3/27/2020,4691
3/28/2020,3160
3/29/2020,3206
3/30/2020,5650
3/31/2020,4937
4/1/2020,4723
4/2/2020,5460
4/3/2020,4999
4/4/2020,3615
4/5/2020,3433
4/6/2020,5957
4/7/2020,5424
4/8/2020,4639
4/9/2020,3405
4/10/2020,2710
4/11/2020,1392
4/12/2020,562
4/13/2020,66
